sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,sw_14,sw_15,sw_16,loss
1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0.03446814455245508
1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0.034543293291559155
1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0.0346510447103434
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0.034829160700478284
1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.03520802530149883
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0.035361050673756105
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0.0355779458314346
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0.035647659306589856
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.03577454180702813
1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0.03694386071174784
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0.037051361037943736
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0.03711975705726262
1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0.0372723347988843
1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0.03784113429701197
1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0.03803982775759038
1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0.038619733818115155
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0.038716451981198496
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0.038890696862264935
1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0.03905162231642489
1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0.03910433785578575
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.039415476723270504
