sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,loss
1,1,0,1,1,1,1,0,1,1,1,1,1,0,0.014053217264609785
1,1,1,0,0,1,1,0,1,1,1,1,1,1,0.01442043408491677
1,0,0,1,1,1,1,1,1,1,1,0,1,1,0.014760532081840125
1,1,0,1,0,1,1,1,1,1,1,1,0,1,0.01486073563165654
1,0,1,0,1,1,1,1,1,0,1,1,1,1,0.015638088384098157
1,0,1,0,1,1,1,1,1,1,0,1,1,1,0.01591565189382517
1,0,0,0,1,1,1,1,1,1,1,1,1,1,0.016027230303028543
1,0,1,0,1,1,1,1,1,1,1,1,0,1,0.016478774581537625
1,0,1,0,1,1,1,0,1,1,1,1,1,1,0.017106962394529544
1,1,0,1,0,1,1,1,1,1,1,0,1,1,0.017254064879927866
1,0,1,1,1,1,1,1,1,0,1,1,1,0,0.017261913804843078
1,0,1,1,1,1,1,1,1,1,0,1,1,0,0.017646982784930786
1,0,0,1,1,1,1,1,1,1,1,1,1,0,0.01798127902599779
1,0,1,1,1,1,1,1,1,1,1,1,0,0,0.01831981184763127
1,0,1,0,1,1,1,1,0,1,1,1,1,1,0.01895890853270856
1,0,1,1,1,1,1,0,1,1,1,1,1,0,0.01936662126105894
1,0,1,1,1,1,1,1,0,1,1,1,1,0,0.0215483468659474
1,1,1,1,1,1,1,1,1,1,0,1,0,0,inf
1,1,1,1,1,1,1,1,1,1,0,0,0,1,inf
1,1,1,1,1,1,1,1,1,0,1,1,0,0,inf
1,1,1,1,1,1,1,1,1,0,1,0,0,1,inf
1,1,1,1,1,1,1,1,1,0,0,1,1,0,inf
1,1,1,1,1,1,1,1,1,0,0,1,0,1,inf
1,1,1,1,1,1,1,1,1,0,0,0,1,1,inf
1,1,1,1,1,1,1,1,0,1,1,0,0,1,inf
1,1,1,1,1,1,1,1,0,1,0,1,0,1,inf
1,1,1,1,1,1,1,1,0,1,0,0,1,1,inf
1,1,1,1,1,1,1,1,0,0,1,1,0,1,inf
1,1,1,1,1,1,1,1,0,0,1,0,1,1,inf
1,1,1,1,1,1,1,1,0,0,0,1,1,1,inf
1,1,1,1,1,1,1,0,1,1,1,0,0,1,inf
1,1,1,1,1,1,1,0,1,1,0,1,0,1,inf
1,1,1,1,1,1,1,0,1,1,0,0,1,1,inf
1,1,1,1,1,1,1,0,1,0,1,1,0,1,inf
1,1,1,1,1,1,1,0,1,0,1,0,1,1,inf
1,1,1,1,1,1,1,0,1,0,0,1,1,1,inf
1,1,1,1,1,1,1,0,0,1,1,1,1,0,inf
1,1,1,1,1,1,1,0,0,1,1,1,0,1,inf
1,1,1,1,1,1,1,0,0,1,1,0,1,1,inf
1,1,1,1,1,1,1,0,0,1,0,1,1,1,inf
1,1,1,1,1,1,1,0,0,0,1,1,1,1,inf
1,1,1,1,1,1,0,1,1,1,1,0,1,0,inf
1,1,1,1,1,1,0,1,1,1,0,1,0,1,inf
1,1,1,1,1,1,0,1,1,0,1,1,0,1,inf
1,1,1,1,1,1,0,1,1,0,0,1,1,1,inf
1,1,1,1,1,1,0,0,0,1,1,1,1,1,inf
1,1,1,1,1,0,1,1,1,1,1,0,1,0,inf
1,1,1,1,1,0,1,1,1,1,0,1,0,1,inf
1,1,1,1,1,0,1,1,1,0,1,1,0,1,inf
1,1,1,1,1,0,1,1,1,0,0,1,1,1,inf
1,1,1,1,1,0,1,0,0,1,1,1,1,1,inf
1,1,1,1,1,0,0,1,1,1,1,1,1,0,inf
1,1,1,1,1,0,0,1,1,1,1,1,0,1,inf
1,1,1,1,1,0,0,1,1,1,1,0,1,1,inf
1,1,1,1,1,0,0,1,1,1,0,1,1,1,inf
1,1,1,1,1,0,0,1,1,0,1,1,1,1,inf
1,1,1,1,1,0,0,1,0,1,1,1,1,1,inf
1,1,1,1,1,0,0,0,1,1,1,1,1,1,inf
1,1,1,1,0,1,1,1,1,1,1,0,1,0,inf
1,1,1,1,0,1,1,1,1,1,0,1,0,1,inf
1,1,1,1,0,1,1,1,1,0,1,1,0,1,inf
1,1,1,1,0,1,1,1,1,0,0,1,1,1,inf
1,1,1,1,0,1,1,0,0,1,1,1,1,1,inf
1,1,1,1,0,1,0,1,1,1,1,1,1,0,inf
1,1,1,1,0,1,0,1,1,1,1,1,0,1,inf
1,1,1,1,0,1,0,1,1,1,1,0,1,1,inf
1,1,1,1,0,1,0,1,1,1,0,1,1,1,inf
1,1,1,1,0,1,0,1,1,0,1,1,1,1,inf
1,1,1,1,0,1,0,1,0,1,1,1,1,1,inf
1,1,1,1,0,1,0,0,1,1,1,1,1,1,inf
1,1,1,1,0,0,1,1,1,1,1,1,1,0,inf
1,1,1,1,0,0,1,1,1,1,1,1,0,1,inf
1,1,1,1,0,0,1,1,1,1,1,0,1,1,inf
1,1,1,1,0,0,1,1,1,1,0,1,1,1,inf
1,1,1,1,0,0,1,1,1,0,1,1,1,1,inf
1,1,1,1,0,0,1,1,0,1,1,1,1,1,inf
1,1,1,1,0,0,1,0,1,1,1,1,1,1,inf
1,1,1,1,0,0,0,1,1,1,1,1,1,1,inf
1,1,1,0,1,1,1,1,1,1,1,1,0,0,inf
1,1,1,0,1,1,1,1,1,1,1,0,1,0,inf
1,1,1,0,1,1,1,1,1,1,0,1,1,0,inf
1,1,1,0,1,1,1,1,1,1,0,1,0,1,inf
1,1,1,0,1,1,1,1,1,0,1,1,1,0,inf
1,1,1,0,1,1,1,1,1,0,1,1,0,1,inf
1,1,1,0,1,1,1,1,1,0,0,1,1,1,inf
1,1,1,0,1,1,1,1,0,1,1,1,1,0,inf
1,1,1,0,1,1,1,0,1,1,1,1,1,0,inf
1,1,1,0,1,1,1,0,0,1,1,1,1,1,inf
1,1,1,0,1,1,0,1,1,1,1,1,1,0,inf
1,1,1,0,1,1,0,1,1,1,1,0,1,1,inf
1,1,1,0,1,0,1,1,1,1,1,1,1,0,inf
1,1,1,0,1,0,1,1,1,1,1,0,1,1,inf
1,1,1,0,1,0,0,1,1,1,1,1,1,1,inf
1,1,1,0,0,1,1,1,1,1,1,1,1,0,inf
1,1,1,0,0,1,1,1,1,1,1,0,1,1,inf
1,1,1,0,0,1,0,1,1,1,1,1,1,1,inf
1,1,1,0,0,0,1,1,1,1,1,1,1,1,inf
1,1,0,1,1,1,1,1,1,1,1,1,0,0,inf
